,modul,modul_err,modul_rel_err,modul_r,modul_r_err,modul_r_rel_err,modul_norm,modul_norm_err,cover,cover_err,cover_rel_err,cover_r,cover_r_err,cover_r_rel_err,cover_norm,cover_norm_err,aspl,aspl_err,aspl_rel_err,aspl_r,aspl_r_err,aspl_r_rel_err,aspl_norm,aspl_norm_err,cc,cc_err,cc_rel_err,cc_r,cc_r_err,cc_r_rel_err,cc_norm,cc_norm_err,sigma,sigma_err,sigma_rel_err,sigma_f,sigma_f_err,sigma_f_rel_err,omega,omega_err,omega_rel_err,a_asset,a_asset_err,a_asset_rel_err,a_money,a_money_err,a_money_rel_err,a_appr,a_appr_err,a_appr_rel_err,a_sit,a_sit_err,a_sit_rel_err,a_wr,a_wr_err,a_wr_rel_err,num_com,num_com_err,num_com_rel_err,nodes,nodes_err,nodes_rel_err,edges,edges_err,edges_rel_err,runs
Result_Homans_1_a_,0.22700131818477018,0.005659765338135611,0.024932742168170072,0.1474645305863841,0.00201919405940152,0.01369274395254447,1.5393621590365676,0.04378755826870224,0.6180943791918089,0.02312145735172467,0.03740764862148917,0.3599009112706034,0.005771641277730523,0.01603675094168051,1.7174015398006985,0.06989865527026148,1.895946127946128,0.007157536445668211,0.0037751792311851947,1.9148552188552186,0.006138852490571682,0.003205909475621738,0.9901250545091366,0.004903851982462212,0.24013307557889474,0.0032925073695590948,0.013711178110811123,0.187625674826346,0.002174480477487771,0.01158946119447846,1.2798518955422606,0.02297724548895756,1.2933285942458566,0.014571718919909037,0.011266834263728504,1.2926164121528654,0.024073288061729696,0.018623690551503518,-0.2704621705290085,0.014066354597873922,0.05200858430722839,0.019002585346626903,0.012071407460165969,0.6352507956139101,0.2474227845481677,0.03684790601345106,0.14892689079035723,0.26614599377317755,0.02583274136890903,0.09706229653385254,0.005659747151656056,0.020780580648826718,3.6716447028461805,0.1718403837731356,0.012828452610244368,0.07465330516940968,4.2,0.22253945610567474,0.052985584787065415,100.0,0.0,0.0,934.0,10.237187113655782,0.010960585774792059,15.0
Result_Homans_1_b_,0.19850568088354958,0.003997869078836779,0.02013982199926092,0.16970910337798042,0.0047057956061615945,0.027728598598984563,1.1696819848339701,0.040085935280223,0.4839219531775159,0.00858240701365231,0.01773510574855869,0.3777433872253699,0.005869954845075595,0.015539530389114271,1.281086498249664,0.030207872412806862,2.0482424242424244,0.015320338278751913,0.007479748538270995,2.1129158249158246,0.013972626545538745,0.006612959390417454,0.9693913974656436,0.009678287882491936,0.2204930824827531,0.00789019061530453,0.03578430001731096,0.14726386014351103,0.003835362578465185,0.02604415349921944,1.4972654001319738,0.06626670780508134,1.5450279927989474,0.041464489842653385,0.026837371255349875,1.5445416619606827,0.07007679188490017,0.04537060644640871,-0.4656668249116001,0.039338621471988675,0.08447804174037205,-0.012144229435693883,0.010192441100476412,0.8392826530861773,0.0030488656094852717,0.011680522240862452,3.8311043309102857,-0.05294309059153646,0.008315080338571337,0.15705695012637957,-0.03800606801151541,0.026111210612435532,0.6870274137415143,0.06771788733881841,0.00997729718117245,0.14733621459943408,5.933333333333334,0.28396288601667763,0.04785891337359735,100.0,0.0,0.0,725.6666666666666,19.879078896613336,0.027394229072044102,15.0
Result_Homans_1_c_,0.2260347697888032,0.004815411297189769,0.02130385206527772,0.15025711994218435,0.003638044471003847,0.02421212700205945,1.5043198610207387,0.048514751810303444,0.6063683945160796,0.023889606387778404,0.0393978423081299,0.3660688178063681,0.006916572774143287,0.018894187206630105,1.6564327935651102,0.07237645222297036,1.9149696969696968,0.012867679018688837,0.00671952096111548,1.9346666666666668,0.014946740426306292,0.007725744534617311,0.9898189336507736,0.010134851261359799,0.22926827283986162,0.0041280501749224145,0.01800532678939732,0.18062701408368426,0.003490039317948849,0.019321801534802088,1.2692911633563402,0.03352283767867533,1.2834121642375194,0.015949157380080927,0.01242715148298161,1.2823468214280185,0.03632377014088752,0.02832601097762106,-0.2600865638465414,0.014559590212133919,0.055979786102001404,0.04462699288653358,0.018505202488823307,0.4146638904367528,0.22962313381633814,0.04783447741641329,0.20831732683638593,0.18809436978083086,0.03548730969756196,0.18866758074105075,-0.004785700652989407,0.0223237699722658,4.664681640361515,0.1381895315797444,0.020183104068310972,0.14605378452031298,3.9,0.27688746209726917,0.07099678515314595,100.0,0.0,0.0,892.1,19.755983622408902,0.022145481025007175,10.0
Result_Homans_2_a_,0.27286121313161554,0.03539772720370033,0.12972795509278234,0.18776109675072775,0.014310698427736477,0.07621759073305483,1.4532361487740295,0.2186551272982027,0.5943694488621586,0.04237728339803194,0.07129788295673277,0.38738284345482715,0.012076862957173513,0.031175523545305898,1.5343205278823047,0.11939440548661923,1.9345385050353066,0.033717372359022516,0.017429155465896067,2.200249158249158,0.06426789383687598,0.029209370945978214,0.8792361073210044,0.029906474153012303,0.32309766480196456,0.03056929949323766,0.09461318611502322,0.14170233294415754,0.007296523702448063,0.05149190948975765,2.2801153522948123,0.24560845165628015,5.002004388412966,1.449728564162206,0.2898295266434533,2.59329130515605,0.2929390231052346,0.11296032286184184,-2.2145406498208478,0.7264194261249983,0.3280226200335335,0.019341443228460476,0.008335037436220955,0.4309418556706329,0.0933371454236258,0.009175760524207955,0.09830770463958668,0.04144240911957029,0.010359865893474622,0.24998223109047965,-0.01852955594778832,0.006789832383502948,0.36643254714980794,0.1874898844276336,0.032074203407963395,0.1710716474431624,7.033333333333333,0.537091642971841,0.07636374070689682,88.96428571428571,4.567680962221195,0.051342861076753704,720.6428571428571,37.802228815261145,0.0524562596306528,30.0
Result_Homans_2_b_,0.05190517608868448,0.001987024871998174,0.03828182508432628,-0.025486447203227947,0.004010637007612092,0.15736351856464836,-2.036579507327742,0.3298301665954341,0.5432343092762129,0.00995151201768224,0.018319004981370377,0.134611958487144,0.0014983757189777544,0.011131074354889916,4.03555757884686,0.08650476864595488,1.2599393939393937,0.0017935859754397191,0.0014235494056835524,1.4783838383838384,0.0012206954502877706,0.0008256958839743734,0.8522410494670674,0.001402517070697817,0.7440588561989487,0.0022456462561288924,0.0030181029866385256,0.7402907204761342,0.0017598547960630386,0.0023772482180124442,1.0050900755859684,0.003861463294397626,1.179354657474272,0.0020820698923068193,0.0017654315257174796,1.1793495234880815,0.004929133812001971,0.004179536018654935,0.16830632994195113,0.0021647961490852768,0.012862238454322633,-0.013149595809866499,0.0020328390889368143,0.15459327559038127,-0.01238578850202827,0.002497392768723157,0.20163373275057855,-0.0108328451018012,0.0015009909044718583,0.13855925108929004,-0.03384792674480412,0.013089354805913552,0.38671068111794626,-0.003995724131035244,0.0034152829493406317,0.8547344204305147,3.3,0.21343747458109494,0.0646780226003318,100.0,0.0,0.0,3663.3,8.87825057842666,0.0024235663413934593,10.0
Result_Homans_3_a_,0.2444202218451569,0.008706154256202326,0.03561961522855411,0.14949582027119954,0.0027470742306625853,0.01837559221173631,1.6349635822711,0.06552960508276272,0.6588044128276327,0.02456537503149211,0.037287811910754934,0.36433679428115007,0.007967377407350238,0.021868165753256317,1.808229152719747,0.07816482484152121,1.8918585858585857,0.005631180009800877,0.002976533263053204,1.9054949494949494,0.005531141130268682,0.0029027319813861004,0.992843663196285,0.004127842690208098,0.23243618252899143,0.0054872301269857995,0.02360746966019968,0.18604617718718558,0.003232032774753146,0.01737220739290611,1.2493467269425897,0.03661899435826418,1.259029964327594,0.02439469268900048,0.01937578404023837,1.2583519170788062,0.037252143902164796,0.029603915563337455,-0.24293785345681423,0.02574594141687632,0.10597747963329658,0.06189296571650107,0.02241182137464024,0.3621061152134305,0.3228213956013597,0.02825441061378929,0.08752335191772613,0.24074800372732702,0.02976780401896964,0.12364714788117154,-0.026650426115036978,0.022426131964251073,0.8414924349595134,0.23956511835070105,0.01979956026146013,0.08264792636662327,3.8,0.24944382578492943,0.06564311204866564,100.0,0.0,0.0,928.6,8.173398585927668,0.008801850727899707,10.0
Result_Homans_3_b_,0.2479449136592437,0.006706149705075731,0.027046933958452337,0.14090088833103293,0.0035289312377607255,0.025045486082882918,1.7597115007303663,0.0648666277340621,0.6823249456616458,0.01667116269819487,0.02443287879798819,0.3634977934551064,0.00788176661685554,0.021683120939849594,1.87710890670349,0.061319241154852,2.1254297897754606,0.010642724937962443,0.005007328395019242,1.9288846506803448,0.007365797214384208,0.0038186820615666093,1.1018957453084566,0.006938940347319637,0.3027050209837093,0.007681306384238265,0.025375549963710876,0.19113944679705902,0.003646484689482942,0.019077614540522196,1.5836868111536615,0.05027735267179063,1.4392205121142174,0.03584695690940182,0.024907202619522548,1.4372383393769577,0.04651702612193335,0.03236556167997749,-0.6785119903870226,0.04212324658114476,0.062081801321031485,0.6792155027314105,0.019231026942182726,0.028313586578702487,0.4718890606555878,0.020445410011635873,0.04332673019211634,0.05726801615694214,0.0292877955464186,0.5114162758171303,-0.05566492574738964,0.022064547949687516,0.3963815212799815,0.42377944335886664,0.03152431349975311,0.07438849145180826,4.5,0.16666666666666666,0.037037037037037035,98.4,0.4268749491621899,0.004338160052461279,924.6,17.760255253420958,0.019208582363639367,10.0
Result_Homans_3_c_,0.23264676979068355,0.008578568987124004,0.03687379366944272,0.13129712847076838,0.002297465311331926,0.017498214455188385,1.7719105703250728,0.0723205287056575,0.6431765656691286,0.022222139662553098,0.03455060530607843,0.3534295201769179,0.006878132571095844,0.019461115097722522,1.8198156321157628,0.07216387801113207,1.947244399603015,0.014648454704375717,0.007522658536012274,1.8713917754230713,0.0057229530629326515,0.003058126651026264,1.04053273353881,0.00844964669141375,0.28853376577231504,0.00564483389860387,0.01956385895943377,0.20969661060687428,0.0027295163098932027,0.013016501802264817,1.375958175658068,0.03233278906907163,1.3240171250639439,0.028222090978414313,0.021315502982675785,1.3223593370085436,0.03287642822996408,0.024861947361703902,-0.4170421534589055,0.0385903335543855,0.09253341235249524,0.5000078289191515,0.03776789203725804,0.0755346013659416,0.07128424620829985,0.026960406925724448,0.3782098901199486,-0.15272273644474374,0.017622426961377446,0.11538836568550732,-0.0546117341989303,0.028611805203750392,0.5239131410756559,0.2401012885662812,0.033954318413720354,0.1414166438525676,3.8,0.32659863237109044,0.08594700851870801,98.9,0.3785938897200182,0.003828047418807059,1018.3,12.87206277175496,0.012640737279539389,10.0
